arrival_time,prefill_length,decode_length
188.608,10,10
188.6211,10,10
188.6937,10,10
189.0973,20,20
190.1246,20,20
190.2125,20,20
190.3437,10,10
190.3888,20,20
190.7424,10,10
192.4305,10,10
192.677,20,20
192.7138,10,10
192.9006,10,10
193.2534,10,10
193.5428,10,10
193.5987,10,10
193.6095,20,20
193.6188,20,20
193.7258,20,20
194.1106,10,10
194.2323,10,10
194.7156,10,10
194.8149,20,20
194.82,20,20
194.9953,20,20
195.2408,10,10
195.3232,10,10
195.3549,10,10
195.791,20,20
196.1137,10,10
196.4216,10,10
196.4516,10,10
196.9683,20,20
198.0238,20,20
198.2777,20,20
199.0875,10,10
199.1173,10,10
199.5231,20,20
199.7111,10,10
199.794,20,20
200.1876,20,20
201.5599,20,20
201.7687,10,10
201.9054,10,10
201.9821,10,10
202.0468,10,10
202.2275,10,10
202.2808,10,10
202.6087,20,20
202.8699,10,10
202.902,10,10
203.2581,10,10
204.5007,20,20
205.5725,20,20
206.1145,10,10
206.4125,20,20
206.5109,20,20
206.9555,10,10
206.9693,20,20
207.2775,20,20
207.433,10,10
207.5572,20,20
207.6158,10,10
208.1048,10,10
208.4791,10,10
208.7568,10,10
208.8268,10,10
209.9153,10,10
210.214,10,10
210.3222,10,10
210.5514,10,10
210.8188,10,10
211.1695,20,20
211.6689,20,20
211.6976,10,10
212.359,10,10
213.0923,10,10
213.0978,10,10
213.3669,10,10
213.6952,10,10
213.7048,10,10
213.8553,10,10
213.8949,20,20
214.5694,10,10
214.6432,10,10
214.8923,20,20
215.0264,10,10
215.1475,10,10
215.1536,10,10
215.2916,10,10
216.4761,20,20
217.1539,10,10
217.1745,20,20
217.9624,10,10
218.0347,20,20
218.713,20,20
218.9302,20,20
219.5666,10,10
219.9012,10,10
219.9593,10,10
220.2119,20,20
220.3563,10,10
220.5415,20,20
220.5661,20,20
220.6592,10,10
221.5893,10,10
221.6031,20,20
221.6409,10,10
221.798,20,20
221.9759,10,10
222.0572,10,10
222.2534,10,10
222.9219,10,10
223.2451,10,10
223.4808,10,10
223.7316,10,10
224.0392,10,10
224.6191,20,20
224.8078,10,10
225.921,10,10
227.4753,10,10
227.6967,20,20
228.2483,10,10
228.4377,10,10
229.0203,10,10
229.3081,10,10
229.4551,10,10
230.1602,20,20
230.3741,10,10
230.3937,10,10
230.6225,20,20
230.6381,20,20
231.5539,10,10
231.8633,10,10
232.3703,10,10
232.9087,10,10
233.2736,20,20
233.8325,20,20
234.0362,10,10
234.5424,10,10
235.0183,10,10
235.0528,10,10
235.4181,10,10
235.4995,10,10
236.1681,10,10
236.527,10,10
237.0971,10,10
237.1184,10,10
237.1627,10,10
237.2334,20,20
237.7927,10,10
237.8301,10,10
237.867,10,10
237.8731,10,10
239.4406,10,10
240.1094,10,10
240.3273,10,10
240.5032,10,10
240.5471,20,20
240.7183,10,10
241.4634,10,10
242.0048,10,10
242.1072,10,10
242.2029,10,10
242.2547,10,10
242.4645,20,20
242.7945,10,10
242.8133,20,20
243.2995,20,20
243.5173,10,10
243.6712,10,10
243.6818,10,10
243.7247,10,10
245.2043,20,20
245.4435,10,10
245.5854,20,20
245.6186,10,10
245.7711,20,20
246.3518,10,10
246.5849,20,20
246.8417,10,10
247.0823,10,10
247.1975,10,10
247.2622,10,10
247.7394,10,10
248.4844,10,10
249.0007,10,10
249.3362,20,20
249.3786,10,10
249.4,10,10
250.527,20,20
251.1287,10,10
251.3711,20,20
251.4733,20,20
251.9302,10,10
252.1034,10,10
252.4279,20,20
254.0587,10,10
254.5192,10,10
254.9559,10,10
255.6452,10,10
256.4802,10,10
257.0145,10,10
257.0384,20,20
257.083,10,10
257.1894,20,20
257.2894,10,10
257.9199,20,20
258.6056,10,10
258.7328,10,10
258.9655,10,10
259.2484,10,10
259.5378,10,10
260.0124,10,10
260.0185,20,20
261.3685,20,20
261.4454,10,10
261.5831,10,10
261.6478,10,10
261.7578,10,10
262.5626,20,20
262.8477,10,10
263.3666,10,10
263.535,10,10
263.7749,20,20
264.2204,20,20
264.3813,10,10
264.5679,20,20
265.3692,10,10
266.2253,20,20
266.3063,10,10
267.5625,10,10
267.7079,10,10
267.8866,20,20
268.4112,10,10
268.7198,10,10
269.6424,10,10
269.9046,20,20
270.2942,10,10
271.0433,10,10
271.5771,10,10
271.6747,10,10
272.0685,10,10
272.3492,20,20
273.0653,20,20
273.7615,20,20
274.1575,10,10
275.3624,20,20
275.5429,10,10
275.5649,10,10
275.655,10,10
275.7256,10,10
276.3729,10,10
276.4121,20,20
277.2242,10,10
277.3443,10,10
277.6227,20,20
277.6967,10,10
278.6152,10,10
279.2113,20,20
279.2751,10,10
279.6658,10,10
280.112,10,10
280.467,10,10
280.6436,10,10
281.0598,10,10
281.4186,20,20
281.6436,10,10
281.8311,20,20
282.302,20,20
282.4007,20,20
282.6767,10,10
283.1824,10,10
283.2642,20,20
283.3008,20,20
283.8983,10,10
283.9274,20,20
283.9855,10,10
284.2951,10,10
284.2997,10,10
284.4414,10,10
284.7097,20,20
285.0473,20,20
285.0895,10,10
285.9409,20,20
285.9719,20,20
286.01,20,20
287.4919,10,10
287.5442,10,10
287.7393,20,20
287.8008,10,10
288.1859,20,20
288.3218,20,20
288.6057,10,10
288.7198,10,10
289.0604,20,20
289.1248,10,10
289.7851,10,10
290.2637,10,10
290.3678,10,10
290.5301,20,20
290.5874,10,10
290.7732,20,20
291.3531,10,10
291.7484,20,20
291.7571,10,10
291.7597,10,10
291.8376,20,20
291.8907,20,20
292.4754,10,10
292.4933,10,10
292.6486,20,20
293.178,10,10
293.2911,10,10
293.4265,20,20
294.4411,20,20
294.8771,10,10
295.1064,10,10
295.3044,10,10
295.385,10,10
295.5674,10,10
295.736,20,20
296.6137,10,10
299.4181,10,10
299.4596,20,20
299.6478,10,10
299.9454,10,10
300.1859,20,20
300.5759,20,20
300.5856,10,10
301.6723,10,10
302.1218,10,10
302.1615,20,20
302.3702,10,10
302.4774,20,20
302.6362,10,10
303.0554,20,20
303.1371,20,20
303.1628,20,20
303.231,10,10
303.2326,10,10
303.7158,10,10
303.9355,10,10
304.7259,10,10
304.7747,10,10
305.2183,10,10
305.5462,10,10
306.0603,10,10
306.0938,10,10
306.4501,20,20
306.5275,10,10
306.9397,10,10
307.351,10,10
307.8135,10,10
308.2579,20,20
308.3777,10,10
309.1951,10,10
309.3523,10,10
309.4485,20,20
309.9744,20,20
310.1647,20,20
310.2239,10,10
310.3348,20,20
310.5687,10,10
310.6088,10,10
310.6228,20,20
310.639,10,10
310.8424,10,10
311.4196,20,20
311.6107,10,10
312.2257,10,10
312.6735,20,20
313.0027,10,10
313.3669,10,10
313.657,10,10
313.7367,10,10
313.7529,20,20
313.9356,10,10
314.0813,20,20
314.2202,10,10
314.2666,10,10
314.3912,10,10
314.8472,10,10
315.5124,10,10
317.1794,20,20
318.5184,20,20
318.7152,10,10
319.3266,20,20
320.0675,10,10
320.2727,20,20
320.5819,10,10
320.8167,20,20
320.8554,10,10
321.1014,20,20
321.3609,10,10
321.5414,20,20
322.131,10,10
322.194,10,10
322.4577,10,10
322.9596,20,20
322.9741,20,20
323.0974,20,20
323.1445,20,20
323.1861,20,20
323.3734,10,10
323.6155,10,10
324.0397,10,10
324.4828,10,10
324.5847,10,10
324.8096,10,10
325.0132,10,10
325.0265,10,10
325.0387,10,10
325.1203,20,20
325.9297,10,10
326.0892,10,10
326.3366,20,20
326.4542,10,10
326.6316,10,10
326.9793,20,20
327.0823,20,20
327.7588,20,20
328.044,10,10
328.1941,10,10
328.4003,20,20
328.4749,10,10
328.5905,20,20
329.1594,20,20
329.5056,10,10
329.6677,20,20
330.4279,10,10
330.5309,10,10
330.6244,20,20
331.3423,10,10
331.6325,20,20
331.6487,10,10
331.6789,20,20
331.9785,10,10
332.0502,10,10
332.0922,10,10
332.1483,20,20
332.743,10,10
333.0861,10,10
333.1314,20,20
333.3732,10,10
333.8308,20,20
334.0269,10,10
334.7521,10,10
334.8387,10,10
335.3097,10,10
335.3825,10,10
335.7722,20,20
336.0784,10,10
336.6133,10,10
336.8472,20,20
337.025,20,20
337.0982,20,20
338.1266,20,20
338.1535,20,20
338.1821,10,10
338.2179,10,10
338.2472,10,10
338.413,10,10
338.5647,10,10
338.7065,10,10
339.0348,20,20
339.8901,10,10
340.0337,10,10
340.1924,10,10
340.9047,10,10
341.2033,10,10
341.8521,20,20
341.953,10,10
341.9868,10,10
342.3211,10,10
342.3382,10,10
342.3705,10,10
342.7089,20,20
343.2002,20,20
343.5551,10,10
343.6301,10,10
344.0102,10,10
344.231,20,20
344.2749,10,10
344.4883,10,10
344.8439,20,20
345.6328,20,20
345.6387,10,10
345.6498,10,10
346.1948,10,10
347.8485,10,10
348.2592,10,10
348.4709,20,20
348.9588,20,20
349.6401,10,10
349.667,10,10
349.9383,10,10
350.0889,10,10
350.7451,10,10
352.2079,20,20
352.7347,10,10
352.8829,10,10
353.4138,10,10
353.5242,10,10
353.9408,10,10
354.2525,10,10
354.5655,20,20
354.7834,20,20
354.8553,20,20
354.9615,20,20
354.9799,20,20
355.0791,20,20
356.0404,10,10
356.2279,20,20
356.3018,20,20
356.5093,10,10
356.686,20,20
356.7243,10,10
356.7849,10,10
356.8669,10,10
356.9945,10,10
357.139,10,10
358.0896,10,10
358.5015,10,10
358.5495,20,20
358.573,20,20
358.872,10,10
358.933,10,10
359.9166,10,10
360.2576,20,20
360.5581,10,10
360.5886,20,20
360.5931,10,10
360.7144,20,20
361.2083,10,10
361.6005,10,10
361.6431,10,10
361.9075,20,20
361.9496,10,10
362.2811,10,10
362.3717,10,10
362.8989,20,20
363.8283,10,10
364.7768,10,10
364.9984,20,20
365.3297,10,10
365.6399,10,10
365.9052,10,10
366.3267,20,20
366.4315,10,10
366.8257,10,10
366.8579,10,10
367.2171,10,10
367.9537,20,20
368.0381,10,10
368.285,20,20
368.3455,10,10
368.3722,10,10
368.4803,20,20
369.1437,10,10
369.2561,10,10
369.4057,10,10
369.4957,10,10
369.6961,10,10
369.8691,20,20
370.403,10,10
370.7693,10,10
370.8839,10,10
371.5133,20,20
371.9351,10,10
372.9935,10,10
374.0158,10,10
374.1523,10,10
374.4523,10,10
376.1703,20,20
376.5518,10,10
376.7024,20,20
377.1676,20,20
377.2911,10,10
377.3048,10,10
377.3385,10,10
377.6503,10,10
378.6656,20,20
378.8499,10,10
379.0823,20,20
379.2368,10,10
379.5812,10,10
379.6369,10,10
380.1716,10,10
381.0349,10,10
381.2742,10,10
381.7524,20,20
382.0214,10,10
383.6902,10,10
383.7073,20,20
383.8042,10,10
384.1746,10,10
384.2676,20,20
384.3439,10,10
385.131,10,10
385.5619,10,10
385.6574,20,20
386.0653,10,10
386.8648,10,10
387.0621,20,20
387.1169,10,10
387.1709,20,20
388.3499,10,10
388.7307,10,10
388.8167,10,10
389.4118,10,10
389.4993,20,20
390.2,10,10
390.203,20,20
390.3905,10,10
391.3635,10,10
391.9544,20,20
392.3401,20,20
392.5465,10,10
392.7086,10,10
394.5989,20,20
394.7615,10,10
394.8373,10,10
394.9501,10,10
395.052,10,10
395.0919,20,20
395.1028,20,20
396.1741,10,10
396.7051,10,10
396.7876,10,10
397.0778,10,10
397.4607,20,20
397.5555,10,10
397.5564,20,20
397.5991,10,10
397.9411,20,20
398.6694,10,10
399.4832,10,10
399.835,10,10
400.938,20,20
401.5425,10,10
401.813,10,10
403.884,10,10
403.946,20,20
404.4352,10,10
404.798,20,20
404.9387,10,10
405.0294,10,10
405.7972,20,20
406.0976,10,10
406.3765,10,10
406.3922,20,20
406.465,10,10
406.4714,10,10
406.7393,20,20
406.8816,10,10
407.1377,20,20
407.2563,10,10
407.8916,10,10
408.2541,20,20
408.9965,10,10
409.0378,10,10
409.6499,20,20
409.6953,10,10
409.799,10,10
410.7756,10,10
411.2181,20,20
411.6304,10,10
412.0196,10,10
412.6389,10,10
412.7769,20,20
412.8276,10,10
412.8726,20,20
413.1462,10,10
413.5546,20,20
413.6139,20,20
414.0081,10,10
414.3155,10,10
414.4114,20,20
414.537,10,10
414.8778,10,10
414.9939,20,20
415.7586,10,10
415.9628,10,10
416.0582,10,10
416.6806,10,10
417.1805,20,20
417.5549,10,10
417.608,10,10
417.6127,20,20
417.7372,20,20
417.7451,10,10
417.8216,10,10
417.8915,20,20
418.0355,10,10
418.3347,10,10
419.0255,10,10
419.325,20,20
419.5521,10,10
420.0371,10,10
420.2543,10,10
420.2879,20,20
420.3945,20,20
420.4823,20,20
421.1751,10,10
421.4938,10,10
421.6896,20,20
421.7651,20,20
423.4279,10,10
423.4903,20,20
423.9307,10,10
423.9981,10,10
424.5619,10,10
424.7153,20,20
424.7585,10,10
424.8001,20,20
424.8888,20,20
425.3382,10,10
425.3743,10,10
425.4704,10,10
426.4385,10,10
426.5673,10,10
427.4745,10,10
427.6382,10,10
428.1531,10,10
428.7454,10,10
429.1048,10,10
429.2042,20,20
429.2869,10,10
429.4065,10,10
429.4234,10,10
429.6045,10,10
429.6731,20,20
430.134,10,10
430.1361,20,20
431.5267,10,10
431.8117,20,20
432.5515,10,10
433.2779,10,10
434.0545,10,10
434.6013,10,10
434.752,10,10
434.7539,20,20
435.9407,10,10
436.4961,10,10
436.9071,10,10
436.9659,10,10
437.2622,10,10
437.5706,10,10
438.5702,10,10
438.9658,10,10
439.0227,20,20
439.2051,10,10
440.4226,20,20
440.8946,20,20
440.9818,20,20
441.0869,10,10
441.1456,10,10
441.4202,10,10
441.4416,10,10
442.115,10,10
442.483,20,20
443.3004,20,20
443.366,10,10
443.5302,10,10
443.8524,20,20
444.5074,10,10
444.6802,10,10
445.8885,10,10
446.2206,20,20
446.3385,20,20
446.5896,10,10
447.017,20,20
447.0284,20,20
447.4068,10,10
447.4158,10,10
447.6608,20,20
447.7187,20,20
447.8452,20,20
447.9703,20,20
449.0178,20,20
449.0617,10,10
449.7102,10,10
449.892,10,10
450.3884,20,20
450.7762,10,10
450.9415,10,10
451.264,20,20
451.9723,10,10
452.032,10,10
452.6402,10,10
453.0292,10,10
453.08,10,10
453.2184,10,10
453.2247,10,10
453.541,10,10
453.7202,10,10
454.1763,10,10
454.3527,10,10
454.531,10,10
454.5387,20,20
455.0085,20,20
455.2107,10,10
455.2353,10,10
455.345,20,20
456.4013,10,10
457.3575,10,10
457.3745,20,20
457.6276,20,20
457.9085,10,10
458.3582,10,10
459.4725,10,10
459.5749,10,10
459.6161,10,10
459.753,10,10
460.5443,10,10
460.562,10,10
460.9304,20,20
460.9427,20,20
460.9991,10,10
463.694,10,10
464.4452,20,20
464.4893,20,20
464.6619,10,10
465.0304,10,10
465.0633,10,10
465.9533,10,10
466.4102,10,10
466.4712,10,10
466.5205,10,10
466.707,20,20
467.4572,20,20
467.7224,10,10
468.2755,10,10
469.1594,10,10
470.2153,10,10
470.6394,10,10
471.0037,10,10
471.2851,10,10
471.4757,10,10
471.7608,10,10
472.414,20,20
472.4907,20,20
472.5042,10,10
472.9647,10,10
473.2978,20,20
474.08,10,10
474.3729,10,10
474.84,10,10
475.3389,10,10
475.7868,10,10
476.3932,10,10
476.5287,10,10
476.7813,20,20
476.8878,10,10
476.9428,10,10
477.1855,10,10
477.5199,10,10
477.5218,20,20
478.048,10,10
478.5144,20,20
479.5512,10,10
479.7043,20,20
480.0102,10,10
480.3104,20,20
480.6907,10,10
481.0435,10,10
481.2981,20,20
481.5462,10,10
481.583,10,10
481.7298,10,10
481.9544,10,10
482.1759,20,20
482.2742,10,10
482.2975,10,10
482.373,10,10
482.535,10,10
484.3145,10,10
484.4902,20,20
484.5158,10,10
484.5367,20,20
484.8447,10,10
484.8665,20,20
484.9538,10,10
485.4256,10,10
485.5904,10,10
485.7063,10,10
486.0698,10,10
486.0725,10,10
486.0764,10,10
486.2,10,10
486.2187,10,10
486.2759,10,10
486.4828,10,10
487.294,10,10
487.7184,10,10
487.8705,20,20
488.0778,10,10
488.2515,10,10
489.5938,10,10
489.8467,10,10
489.8923,10,10
490.0802,20,20
490.3722,10,10
490.4326,10,10
490.6444,10,10
490.6884,20,20
490.9984,10,10
491.6563,20,20
491.9812,20,20
492.035,10,10
492.1896,20,20
492.3752,10,10
492.8126,20,20
492.981,10,10
493.2486,20,20
494.1248,20,20
494.2058,20,20
495.449,10,10
495.5195,10,10
495.6801,10,10
495.931,10,10
496.2049,10,10
496.4696,10,10
497.6605,10,10
497.8707,20,20
498.2864,10,10
498.7545,10,10
498.9396,10,10
499.8077,10,10
501.3589,10,10
502.1546,20,20
502.2196,10,10
502.2204,10,10
502.7263,10,10
502.7525,10,10
502.9014,10,10
502.9321,10,10
503.3525,20,20
503.395,10,10
503.9752,10,10
504.036,10,10
504.1205,20,20
504.2781,10,10
504.4909,20,20
504.5827,10,10
504.813,10,10
504.8775,10,10
505.1489,10,10
505.8444,10,10
505.8813,10,10
505.923,10,10
506.1421,10,10
506.1718,20,20
507.3261,20,20
507.5036,20,20
507.5634,10,10
508.1156,10,10
508.6832,10,10
508.9079,10,10
509.3582,10,10
509.3633,10,10
509.8687,10,10
509.9219,20,20
511.0913,10,10
511.5654,10,10
511.6509,20,20
512.5999,10,10
513.2435,10,10
513.3078,10,10
514.4715,10,10
514.5059,10,10
514.6427,20,20
514.8876,10,10
514.9643,10,10
514.9702,10,10
515.2443,10,10
515.4191,10,10
515.7519,10,10
515.9363,20,20
516.1823,10,10
516.2046,10,10
516.2703,10,10
516.6792,10,10
516.8867,20,20
516.8894,10,10
517.4284,20,20
517.5425,10,10
518.0707,10,10
519.0048,10,10
519.5945,10,10
519.8755,10,10
520.1274,20,20
520.4343,10,10
520.5954,10,10
520.7782,10,10
521.5562,10,10
521.8518,10,10
522.1378,20,20
522.184,20,20
522.2108,20,20
522.6525,10,10
522.6831,20,20
523.5167,10,10
524.3468,20,20
524.4911,10,10
525.7334,10,10
526.0153,10,10
